# 29/06/2020 10:34:07 AM : Aggregated Curves - EPEX Spot Market Auction - germany_luxembourg
Date,Week,Week Day,Hour,Price,Volume,Sale/Purchase
30/06/2020,27,2,1,-62.90,22419.1,Sell
30/06/2020,27,2,1,-62.00,22419.1,Sell
30/06/2020,27,2,1,-61.90,22440.4,Sell
30/06/2020,27,2,1,-61.00,22440.4,Sell
30/06/2020,27,2,1,-60.90,22446.8,Sell
30/06/2020,27,2,1,-60.10,22446.8,Sell
30/06/2020,27,2,1,-60.00,22448.0,Sell
30/06/2020,27,2,1,-59.00,22448.0,Sell
30/06/2020,27,2,1,-58.90,22455.5,Sell
30/06/2020,27,2,1,-58.00,22455.5,Sell
30/06/2020,27,2,1,-57.90,22458.4,Sell
30/06/2020,27,2,1,-57.00,22458.4,Sell
30/06/2020,27,2,1,-56.90,22459.2,Sell
30/06/2020,27,2,1,-56.10,22459.2,Sell
30/06/2020,27,2,1,-56.00,22461.2,Sell
30/06/2020,27,2,1,-55.90,22482.9,Sell
30/06/2020,27,2,1,-54.00,22482.9,Sell
30/06/2020,27,2,1,-53.90,22484.0,Sell
30/06/2020,27,2,1,-51.10,22484.0,Sell
30/06/2020,27,2,1,-51.00,22509.5,Sell
30/06/2020,27,2,1,-50.10,22509.5,Sell
30/06/2020,27,2,1,-50.00,22604.5,Sell
30/06/2020,27,2,1,-49.90,22731.5,Sell
30/06/2020,27,2,1,-48.00,22731.5,Sell
30/06/2020,27,2,1,-47.90,22741.3,Sell
30/06/2020,27,2,1,-45.00,22741.3,Sell
30/06/2020,27,2,1,-44.90,22745.8,Sell
30/06/2020,27,2,1,-35.10,22745.8,Sell
30/06/2020,27,2,1,-35.00,22749.6,Sell
30/06/2020,27,2,1,-31.98,22749.6,Sell
30/06/2020,27,2,1,-31.90,22808.0,Sell
30/06/2020,27,2,1,-30.10,22808.0,Sell
30/06/2020,27,2,1,-30.00,22808.4,Sell
30/06/2020,27,2,1,-29.90,22858.4,Sell
30/06/2020,27,2,1,-25.00,22858.4,Sell
30/06/2020,27,2,1,-24.90,22932.4,Sell
30/06/2020,27,2,1,-20.10,22932.4,Sell
30/06/2020,27,2,1,-20.02,22933.6,Sell
30/06/2020,27,2,1,-20.00,22938.2,Sell
30/06/2020,27,2,1,-18.01,22938.2,Sell
30/06/2020,27,2,1,-18.00,22942.2,Sell
30/06/2020,27,2,1,-12.10,22942.2,Sell
30/06/2020,27,2,1,-12.00,22979.2,Sell
30/06/2020,27,2,1,-10.00,22979.2,Sell
30/06/2020,27,2,1,-9.90,23004.2,Sell
30/06/2020,27,2,1,-9.29,23004.2,Sell
30/06/2020,27,2,1,-9.00,23006.2,Sell
30/06/2020,27,2,1,-8.80,23007.6,Sell
30/06/2020,27,2,1,-8.40,23010.4,Sell
30/06/2020,27,2,1,-8.30,23011.1,Sell
30/06/2020,27,2,1,-8.00,23013.2,Sell
30/06/2020,27,2,1,-7.90,23013.9,Sell
30/06/2020,27,2,1,-7.80,23014.6,Sell
30/06/2020,27,2,1,-7.30,23018.1,Sell
30/06/2020,27,2,1,-7.00,23020.2,Sell
30/06/2020,27,2,1,-6.80,23021.6,Sell
